"league","stat","pearson_r2","pearson_r","pearson_p"
"bundesliga","Tackles.per.match",0.49103785530345,-0.700740933086865,"0.001198"
"bundesliga","Penalties.awarded",0.45224257627615,0.67248983358572,"0.002230"
"bundesliga","Set.piece.goals",0.409345208621468,0.639800913270268,"0.004243"
"bundesliga","Interceptions.per.match",0.260876179533653,-0.510760393466108,"0.030308"
"bundesliga","Penalties.conceded",0.0839967712360714,-0.289821964723296,"0.243377"
"bundesliga","Red.cards",0.0568552262940177,-0.238443339797986,"0.356719"
"bundesliga","Accurate.long.balls.per.match",0.0227142452747285,0.15071245892337,"0.550547"
"bundesliga","Accurate.crosses.per.match",0.0191802094783045,0.13849263329977,"0.583661"
"bundesliga","Fouls.per.match",0.00387633499571092,-0.0622602200101391,"0.806130"
"bundesliga","Yellow.cards",0.000508270752223192,-0.0225448608827642,"0.929246"
"la_liga","Fouls.per.match",0.414726493458617,-0.643992619102593,"0.002182"
"la_liga","Penalties.awarded",0.243266569450488,0.493220609312393,"0.027119"
"la_liga","Yellow.cards",0.226531687791995,-0.475953451286988,"0.033899"
"la_liga","Red.cards",0.185682240094639,-0.43090862151347,"0.057856"
"la_liga","Accurate.crosses.per.match",0.0964097543092861,-0.310499201785264,"0.182729"
"la_liga","Interceptions.per.match",0.0928455059348304,-0.30470560535512,"0.191462"
"la_liga","Set.piece.goals",0.0840139900425161,0.289851669035243,"0.215118"
"la_liga","Accurate.long.balls.per.match",0.054577541621772,-0.233618367475188,"0.321535"
"la_liga","Penalties.conceded",0.0540598641486191,-0.232507772232713,"0.323907"
"la_liga","Tackles.per.match",0.00395910514855574,-0.0629214204270353,"0.792138"
"ligue_1","Penalties.awarded",0.213375423827897,0.46192577740141,"0.053623"
"ligue_1","Set.piece.goals",0.177061819492616,0.420787142736819,"0.082056"
"ligue_1","Penalties.conceded",0.162449378019565,-0.403050093685097,"0.097226"
"ligue_1","Accurate.crosses.per.match",0.0920794462483809,0.303445952763224,"0.220911"
"ligue_1","Tackles.per.match",0.0904573559875071,-0.300761294031508,"0.225228"
"ligue_1","Fouls.per.match",0.0516183537188845,-0.227196729111324,"0.364591"
"ligue_1","Red.cards",0.0336157446413569,0.183345969798512,"0.466470"
"ligue_1","Interceptions.per.match",0.0225120927537927,-0.150040303764664,"0.552347"
"ligue_1","Yellow.cards",0.00724733813165448,-0.0851312993654771,"0.736975"
"ligue_1","Accurate.long.balls.per.match",1.94148455916436e-05,0.00440622804580558,"0.986156"
"mls","Set.piece.goals",0.181990517688836,0.426603466569174,"0.018727"
"mls","Penalties.awarded",0.0716864711589607,0.267743293396792,"0.152589"
"mls","Interceptions.per.match",0.0220468628108652,-0.148481860208125,"0.433588"
"mls","Yellow.cards",0.0186697533637386,0.13663730590047,"0.471537"
"mls","Accurate.crosses.per.match",0.0104355716612736,-0.102154645813461,"0.591159"
"mls","Tackles.per.match",0.00992301749830888,0.0996143438381686,"0.600465"
"mls","Accurate.long.balls.per.match",0.00632081079733963,-0.0795035269490583,"0.676227"
"mls","Red.cards",0.0018569617377753,-0.0430924789003291,"0.824349"
"mls","Fouls.per.match",0.00182078576279658,0.0426706663036398,"0.822845"
"mls","Penalties.conceded",0.000634774635203465,-0.0251947342753097,"0.896780"
"premier_league","Set.piece.goals",0.378670665724158,0.61536222318579,"0.003876"
"premier_league","Fouls.per.match",0.287606498996514,-0.536289566369246,"0.014785"
"premier_league","Penalties.conceded",0.280128306216863,-0.529271486306284,"0.019791"
"premier_league","Tackles.per.match",0.219700668285055,-0.468722378690259,"0.037103"
"premier_league","Interceptions.per.match",0.174717926805326,-0.417992735349942,"0.066659"
"premier_league","Yellow.cards",0.102027267402374,-0.31941707437514,"0.169821"
"premier_league","Accurate.long.balls.per.match",0.0895551513844178,-0.299257667210746,"0.199925"
"premier_league","Red.cards",0.0230158496095729,-0.151709754497108,"0.561071"
"premier_league","Penalties.awarded",0.00577580469998114,0.0759987151205936,"0.764390"
"premier_league","Accurate.crosses.per.match",0.00115118321614041,0.0339290910007977,"0.887076"
"serie_a","Set.piece.goals",0.350179961239559,0.591760053771424,"0.005987"
"serie_a","Yellow.cards",0.301930993502759,-0.549482477885109,"0.012087"
"serie_a","Accurate.crosses.per.match",0.286372707233322,0.535138026338367,"0.015042"
"serie_a","Interceptions.per.match",0.257598369220625,-0.507541495072693,"0.022349"
"serie_a","Fouls.per.match",0.14371842961528,-0.379102136125978,"0.099263"
"serie_a","Tackles.per.match",0.130044426129621,-0.360616730240876,"0.118293"
"serie_a","Penalties.awarded",0.0938863426900297,0.306408783637202,"0.188866"
"serie_a","Red.cards",0.0775620173792483,-0.278499582368176,"0.248270"
"serie_a","Accurate.long.balls.per.match",0.00480282844292458,0.0693024418251232,"0.771569"
"serie_a","Penalties.conceded",0.00478383595703359,-0.0691652799967845,"0.772010"
