"stat","pearson_r","pearson_r2","pearson_p","spearman_rho","spearman_p","league"
"FotMob.rating",0.966665822177855,0.934442811766789,0.0000000000690408924699617,0.932712715083526,0.0000000170848143090655,"ligue_1"
"Goals.per.match",0.929598070111754,0.864152571955497,0.0000000242936253182673,0.905232398533601,0.000000242115053178511,"ligue_1"
"Goals.conceded.per.match",-0.764832342955031,0.584968512830082,0.000217948889261884,-0.657302841562843,0.00303483289698169,"ligue_1"
"Average.possession",0.769143811717974,0.591582203104055,0.000190765048721777,0.73347146576377,0.000532259172679986,"ligue_1"
"Clean.sheets",0.724013075169995,0.524194933017114,0.000680658032734119,0.711115103828047,0.000937454296544884,"ligue_1"
"Attendance",0.60484339219144,0.365835529077649,0.00783113507850851,0.584711055806048,0.0108148253759577,"ligue_1"
"Expected.goals",0.929325243083113,0.863645407431487,0.0000000250351852676508,0.904959160576144,0.000000247537328930158,"ligue_1"
"xG.difference",0.933328077308056,0.871101299891553,0.0000000159054131649894,0.940083146260607,0.00000000691453730639267,"ligue_1"
"Shots.on.target.per.match",0.917895130295812,0.842531470220765,0.0000000800654836935728,0.922878341284088,0.0000000493020169289687,"ligue_1"
"Big.chances",0.868054324325669,0.753518309980493,0.00000302852798508165,0.814278432811991,0.0000390195458759202,"ligue_1"
"Big.chances.missed",0.71767418083647,0.515056229839298,0.000798312543141897,0.613472820152979,0.00677533490074692,"ligue_1"
"Accurate.passes.per.match",0.717960598467007,0.515467420951102,0.000792653154214898,0.734504524166254,0.000517838604792567,"ligue_1"
"Accurate.long.balls.per.match",0.00440622804580558,0.0000194148455916436,0.986155862772024,0.0635658999613945,0.802139677740225,"ligue_1"
"Accurate.crosses.per.match",0.303445952763224,0.0920794462483809,0.220911496500292,0.162092375836406,0.52048339947559,"ligue_1"
"Penalties.awarded",0.46192577740141,0.213375423827897,0.0536232681361422,0.484274488958652,0.0416945332440905,"ligue_1"
"Touches.in.opposition.box",0.895267065062851,0.80150311778625,0.00000052164124600926,0.877519497028031,0.00000172224549055162,"ligue_1"
"Corners",0.767570344590722,0.589164233895119,0.000200333115963259,0.707859358841779,0.00101368798657079,"ligue_1"
"Set.piece.goals",0.420787142736819,0.177061819492616,0.0820562705980798,0.361948646970881,0.139954495829301,"ligue_1"
"xG.conceded",-0.736729881232,0.542770917900116,0.000487883955798333,-0.722107823336444,0.000714386210444307,"ligue_1"
"Interceptions.per.match",-0.150040303764664,0.0225120927537927,0.55234674402424,-0.180970199478312,0.472363870469093,"ligue_1"
"Tackles.per.match",-0.300761294031508,0.0904573559875071,0.225228312471756,-0.351602895553258,0.15248871450756,"ligue_1"
"Clearances.per.match",-0.685852331502325,0.470393420627175,0.00167635633787153,-0.609302406947025,0.00727016677701038,"ligue_1"
"Possession.won.final.3rd.per.match",0.83155423261384,0.691482441777992,0.0000189329520744726,0.8119188422126,0.000042824818934393,"ligue_1"
"Set.piece.goals.conceded",-0.643829302411169,0.414516170643252,0.003934968943247,-0.599922612177699,0.00849019911964317,"ligue_1"
"Penalties.conceded",-0.403050093685097,0.162449378019565,0.0972256904769874,-0.449245738279821,0.0614435112313148,"ligue_1"
"Saves.per.match",-0.710069411041015,0.504198568496134,0.000961399886099982,-0.781124114455487,0.000129765960898273,"ligue_1"
"Fouls.per.match",-0.227196729111324,0.0516183537188845,0.364591245120469,-0.172877939421697,0.492715367925749,"ligue_1"
"Yellow.cards",-0.0851312993654771,0.00724733813165448,0.736974687693233,0.026438658021715,0.917062682798021,"ligue_1"
"Red.cards",0.183345969798512,0.0336157446413569,0.466469510802425,0.258131261417306,0.301044371982776,"ligue_1"
"goal_difference",0.978244433592126,0.956962171853979,0.00000000000235708269651329,0.965856311346879,0.000000000083437790937911,"ligue_1"
